Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,167.289993,170.130005,166.929993,168.839996,144.296997,6401800
2010-01-04,170.050003,174.250000,169.509995,173.080002,147.920776,9135000
2010-01-05,173.000000,176.259995,172.570007,176.139999,150.535919,11659400
2010-01-06,175.380005,175.380005,173.759995,174.259995,148.929138,7381100
2010-01-07,174.320007,178.750000,173.949997,177.669998,151.843475,8727400
2010-01-08,176.330002,177.429993,173.949997,174.309998,148.971909,7268100
2010-01-11,175.059998,175.059998,170.520004,171.559998,146.621704,7704900
2010-01-12,170.009995,170.479996,167.029999,167.820007,143.425323,10360100
2010-01-13,168.009995,169.669998,166.119995,169.070007,144.493607,11269500
2010-01-14,168.000000,170.720001,167.210007,168.529999,144.032120,10521400
2010-01-15,167.600006,167.800003,164.580002,165.210007,141.194717,10896300
2010-01-19,165.009995,167.399994,163.899994,166.860001,142.604843,7705300
2010-01-20,165.800003,168.179993,164.320007,167.789993,143.399673,8893900
2010-01-21,169.289993,171.000000,156.770004,160.869995,137.485611,51738300
2010-01-22,158.690002,159.750000,152.250000,154.119995,131.716766,30175600
2010-01-25,156.130005,158.300003,154.500000,154.979996,132.451752,17877000
2010-01-26,154.910004,156.500000,150.699997,150.880005,128.947754,15985900
2010-01-27,150.750000,152.929993,148.270004,151.500000,129.477600,19899000
2010-01-28,154.229996,155.199997,149.949997,153.289993,131.007477,16160700
2010-01-29,154.440002,154.880005,147.809998,148.720001,127.101753,18502800
2010-02-01,149.820007,155.250000,149.210007,153.130005,130.870697,12980800
2010-02-02,153.649994,157.500000,153.649994,156.940002,134.126846,17246600
2010-02-03,157.919998,159.940002,157.110001,157.229996,134.374695,16785200
2010-02-04,155.270004,156.059998,150.449997,150.679993,128.776871,18895000
2010-02-05,150.820007,154.460007,148.869995,154.160004,131.750992,18759200
2010-02-08,154.270004,154.600006,150.820007,151.100006,129.135773,10257300
2010-02-09,152.699997,153.529999,149.649994,152.490005,130.323730,14017300
2010-02-10,152.770004,155.350006,151.759995,153.630005,131.298019,10555300
2010-02-11,154.399994,155.320007,152.250000,154.050003,131.656967,11163400
2010-02-12,152.369995,154.500000,151.139999,153.929993,131.554352,10293200
2010-02-16,155.300003,157.740005,154.600006,157.399994,134.520004,11497100
2010-02-17,158.000000,158.190002,155.809998,157.259995,134.400360,10070000
2010-02-18,155.610001,156.589996,154.880005,155.729996,133.092758,10991100
2010-02-19,154.509995,157.000000,154.490005,156.179993,133.477341,8693000
2010-02-22,157.199997,157.970001,156.029999,156.710007,133.930313,7375500
2010-02-23,156.809998,160.210007,155.910004,156.699997,133.921768,15696000
2010-02-24,157.339996,159.250000,156.869995,158.330002,135.314804,8361500
2010-02-25,156.229996,156.440002,154.320007,156.440002,133.699570,10519900
2010-02-26,156.259995,156.990005,155.259995,156.350006,133.922226,7812700
2010-03-01,156.509995,158.289993,156.169998,156.539993,134.084961,6522800
2010-03-02,157.179993,159.750000,156.910004,158.750000,135.977982,11986400
2010-03-03,159.039993,159.449997,157.229996,157.720001,135.095734,10006000
2010-03-04,158.250000,163.850006,158.110001,163.610001,140.140823,15439500
2010-03-05,165.110001,168.250000,165.000000,167.179993,143.198746,12226700
2010-03-08,167.880005,170.690002,167.460007,169.839996,145.477173,9344500
2010-03-09,169.220001,172.199997,168.000000,168.850006,144.629196,12958700
2010-03-10,170.259995,172.339996,168.869995,171.940002,147.275955,13107200
2010-03-11,171.399994,173.570007,171.100006,173.509995,148.620743,8910600
2010-03-12,175.009995,176.339996,174.000000,174.960007,149.862732,10216900
2010-03-15,173.949997,175.199997,170.380005,173.529999,148.637802,13958600
2010-03-16,174.330002,176.419998,173.559998,176.190002,150.916245,11687700
2010-03-17,176.860001,177.880005,175.570007,176.639999,151.301758,10138600
2010-03-18,176.199997,177.750000,175.660004,177.449997,151.995514,6883500
2010-03-19,177.899994,178.210007,175.949997,177.899994,152.380966,10896600
2010-03-22,176.210007,176.949997,175.229996,176.160004,150.890579,7320400
2010-03-23,176.250000,176.809998,173.289993,174.830002,149.751358,10804800
2010-03-24,173.639999,175.960007,173.639999,174.410004,149.391571,8396100
2010-03-25,175.240005,178.729996,174.779999,174.899994,149.811295,9534300
2010-03-26,175.380005,175.479996,171.910004,172.869995,148.072525,11811500
2010-03-29,173.869995,174.429993,171.639999,174.050003,149.083298,11785600
2010-03-30,174.259995,174.779999,170.699997,171.380005,146.796234,8184600
2010-03-31,170.000000,171.660004,169.850006,170.630005,146.153854,8243200
2010-04-01,171.720001,172.000000,169.500000,170.220001,145.802643,6480600
2010-04-05,170.679993,173.369995,169.770004,173.160004,148.320847,6135000
2010-04-06,172.610001,173.889999,172.149994,172.899994,148.098251,7743600
2010-04-07,172.889999,177.899994,172.809998,176.360001,151.061920,13887200
2010-04-08,176.100006,180.800003,175.279999,179.500000,153.751480,10668800
2010-04-09,180.279999,181.000000,177.500000,179.119995,153.425934,8462000
2010-04-12,179.360001,180.380005,177.839996,177.839996,152.329559,6040800
2010-04-13,177.559998,180.000000,177.110001,179.250000,153.537354,6466400
2010-04-14,183.910004,185.940002,183.070007,184.919998,158.393982,12556400
2010-04-15,185.539993,185.600006,183.660004,184.270004,157.837204,7838700
2010-04-16,183.619995,186.410004,155.550003,160.699997,137.648239,102043700
2010-04-19,155.600006,163.729996,155.000000,163.320007,139.892441,54299200
2010-04-20,166.440002,166.710007,158.000000,159.979996,137.031555,42196600
2010-04-21,161.669998,163.139999,157.000000,158.929993,136.132202,30371000
2010-04-22,157.929993,162.000000,156.289993,159.050003,136.234940,24823000
2010-04-23,160.190002,160.720001,157.000000,157.399994,134.821640,14916000
2010-04-26,156.720001,156.990005,151.520004,152.029999,130.221924,30940700
2010-04-27,150.250000,156.190002,150.149994,153.039993,131.087021,34516800
2010-04-28,156.660004,157.649994,154.690002,157.009995,134.487625,21226100
2010-04-29,159.550003,161.050003,158.339996,160.240005,137.254272,18464300
2010-04-30,151.899994,152.500000,143.300003,145.199997,124.371628,73187900
2010-05-03,147.839996,150.649994,146.539993,149.500000,128.054825,28282700
2010-05-04,149.029999,152.350006,147.830002,149.449997,128.012070,30313400
2010-05-05,148.100006,151.220001,147.199997,148.190002,126.932762,18355200
2010-05-06,147.479996,148.630005,139.059998,142.320007,121.904831,22984700
2010-05-07,145.380005,146.550003,141.500000,142.990005,122.478691,21268500
2010-05-10,149.089996,149.899994,141.199997,143.830002,123.198181,23098200
2010-05-11,142.399994,145.500000,141.550003,141.970001,121.605042,15497900
2010-05-12,144.240005,147.649994,142.279999,147.199997,126.084755,15457000
2010-05-13,148.360001,148.449997,144.419998,144.649994,123.900581,11517900
2010-05-14,143.410004,144.149994,141.899994,143.229996,122.684288,10977400
2010-05-17,143.470001,144.300003,138.529999,142.639999,122.178886,16330100
2010-05-18,143.690002,143.750000,136.600006,137.360001,117.656303,18025300
2010-05-19,137.949997,140.130005,136.100006,140.100006,120.003258,18079900
2010-05-20,138.199997,139.490005,135.750000,136.100006,116.577011,16279200
2010-05-21,137.080002,143.449997,136.250000,140.619995,120.448647,25553400
2010-05-24,142.000000,142.949997,136.509995,136.690002,117.082405,16556800
2010-05-25,134.729996,143.190002,134.199997,142.559998,122.110359,21490900
2010-05-26,144.289993,145.800003,139.690002,140.300003,120.174561,17073900
2010-05-27,142.929993,145.050003,141.039993,144.949997,124.468010,12910200
2010-05-28,144.419998,145.800003,143.100006,144.259995,123.875511,10683700
2010-06-01,144.259995,146.399994,141.699997,141.860001,121.814697,9455200
2010-06-02,142.000000,145.000000,141.139999,144.830002,124.364998,7668400
2010-06-03,144.910004,145.250000,142.500000,144.039993,123.686646,7454900
2010-06-04,142.169998,145.869995,141.710007,142.250000,122.149559,14900400
2010-06-07,142.279999,143.270004,137.850006,138.679993,119.084030,12238600
2010-06-08,139.139999,139.679993,135.050003,137.779999,118.311188,14587000
2010-06-09,138.589996,139.419998,136.220001,136.800003,117.469650,8950600
2010-06-10,137.600006,137.770004,131.300003,133.770004,114.867828,21931000
2010-06-11,133.330002,136.050003,133.000000,135.639999,116.473595,9241800
2010-06-14,137.110001,137.110001,133.399994,133.440002,114.584412,10951400
2010-06-15,134.630005,137.399994,133.300003,136.899994,117.555542,10649300
2010-06-16,136.059998,138.259995,135.710007,137.059998,117.692871,7077700
2010-06-17,136.949997,138.380005,135.220001,137.320007,117.916183,8104300
2010-06-18,137.820007,139.720001,137.520004,138.179993,118.654633,10154900
2010-06-21,139.649994,140.149994,137.309998,137.740005,118.276840,8691000
2010-06-22,137.539993,137.750000,134.589996,134.789993,115.743668,9002200
2010-06-23,133.899994,136.380005,132.729996,135.070007,115.984123,8232200
2010-06-24,134.139999,135.979996,133.110001,134.979996,115.906830,9967900
2010-06-25,136.990005,140.899994,135.429993,139.660004,119.925514,14332300
2010-06-28,140.380005,140.380005,136.529999,136.660004,117.349419,9908100
2010-06-29,134.979996,135.850006,133.169998,133.759995,114.859222,10338100
2010-06-30,133.679993,134.300003,131.020004,131.270004,112.721100,9139800
2010-07-01,131.690002,133.750000,129.500000,131.139999,112.609421,11645300
2010-07-02,132.110001,132.380005,129.690002,131.080002,112.557899,6566400
2010-07-06,133.740005,134.389999,131.070007,132.259995,113.571205,7820100
2010-07-07,132.440002,136.130005,132.070007,135.830002,116.636726,9300400
2010-07-08,136.919998,137.169998,133.559998,135.460007,116.319000,9895700
2010-07-09,135.360001,138.500000,134.589996,138.059998,118.551605,6919900
2010-07-12,137.610001,138.309998,136.029999,137.250000,117.856041,4728900
2010-07-13,138.500000,141.199997,138.110001,140.250000,120.432159,8983900
2010-07-14,139.289993,139.589996,137.649994,139.059998,119.410286,6068500
